=== Gefundene PMB-Treffer ===
10446.xml  [bibl]  "Das XXVI. Jahr (Fischer-Verlag)"  (no-match)
10448.xml  [org]  "Riccardi (Mailand)"  (no-match)
10448.xml  [person]  "Ames, Winthrop"  (no-match)
10448.xml  [person]  "Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)"  (no-match)
10449.xml  [org]  "Riccardi (Mailand)"  (no-match)
10449.xml  [person]  "Ames, Winthrop"  (no-match)
10449.xml  [person]  "Browne, Maurice"  (no-match)
10449.xml  [person]  "Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)"  (no-match)
10450.xml  [person]  "Baumfeld, Maurice"  (no-match)
10450.xml  [org]  "Deutsches Theater New York"  (no-match)
10451.xml  [person]  "Baumfeld, Maurice"  (no-match)
10451.xml  [org]  "Deutsches Theater New York"  (no-match)
10452.xml  [org]  "Riccardi (Mailand)"  (no-match)
10452.xml  [person]  "Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)"  (no-match)
10454.xml  [org]  "Riccardi (Mailand)"  (no-match)
10454.xml  [person]  "Dias, Willi (Übersetzer, Triest)"  (no-match)
10454.xml  [person]  "Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)"  (no-match)
10456.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10458.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10459.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10459.xml  [place]  "Újhely (Slovenské Nové Mesto)"  (no-match)
10460.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10460.xml  [person]  "Ames, Winthrop"  (no-match)
10460.xml  [person]  "Browne, Maurice"  (no-match)
10463.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10463.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10466.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10466.xml  [person]  "Ames, Winthrop"  (no-match)
10466.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10467.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10467.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10469.xml  [org]  "Schauspielhaus Bremen"  (no-match)
10471.xml  [person]  "Ames, Winthrop"  (no-match)
10471.xml  [person]  "Hunter, Robert (Theaterunternehmer, USA)"  (no-match)
10474.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10474.xml  [place]  "Mannstedt (Zuordnung unsicher)"  (no-match)
10475.xml  [bibl]  "Wiesbadener Volksbücher"  (no-match)
10478.xml  [bibl]  "Wiesbadener Volksbücher"  (no-match)
10478.xml  [person]  "Ames, Winthrop"  (no-match)
10479.xml  [bibl]  "Wiesbadener Volksbücher"  (no-match)
10479.xml  [person]  "Ehrhard (Literaturagent, Vermittler span. Übersetzung)"  (no-match)
10479.xml  [person]  "Ovejero y Maury, Eduardo"  (no-match)
10480.xml  [bibl]  "Wiesbadener Volksbücher"  (no-match)
10480.xml  [person]  "Ames, Winthrop"  (no-match)
10481.xml  [person]  "Dan, Johann (Übersetzer, Dänemark)"  (no-match)
10483.xml  [org]  "Friese & Lang (Buchhandel, Wien)"  (no-match)
10483.xml  [person]  "Ames, Winthrop"  (no-match)
10484.xml  [org]  "Nationaltheatret Oslo (Kristiania)"  (no-match)
10486.xml  [org]  "Deutsche Buch-Gemeinschaft"  (no-match)
10486.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10487.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10488.xml  [person]  "Hennings, Henrik"  (no-match)
10488.xml  [org]  "Dagmarteatret Kopenhagen"  (no-match)
10488.xml  [org]  "Det Kongelige Teater Kopenhagen"  (no-match)
10489.xml  [person]  "Lederer, Emanuel"  (no-match)
10489.xml  [person]  "Patteg, Max (Theaterdirektor, Schauspieler)"  (no-match)
10489.xml  [person]  "Zavrel, Franz"  (no-match)
10489.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10490.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10491.xml  [person]  "Lederer, Emanuel"  (no-match)
10495.xml  [org]  "Incorporated Stage Society"  (no-match)
10496.xml  [org]  "Schriftstellerverein (Rom)"  (no-match)
10496.xml  [person]  "Gabrielli, Ehepaar (Präsident Schriftstellerverein, Rom)"  (no-match)
10496.xml  [person]  "Schaaf (Übersetzer, USA)"  (no-match)
10496.xml  [person]  "Sessa, Dr. P. (Übersetzer, Italien)"  (no-match)
10497.xml  [org]  "Deutscher Verlegerverein"  (no-match)
10500.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10503.xml  [person]  "Grumann, Paul H."  (no-match)
10505.xml  [org]  "Stadttheater Preßburg"  (no-match)
10506.xml  [org]  "Hugo Baruch & Cie., Hoflieferanten (Berlin)"  (no-match)
10506.xml  [org]  "Shubert Organisation (New York)"  (no-match)
10506.xml  [place]  "Eversley (Hampshire)"  (no-match)
10507.xml  [org]  "Hugo Baruch & Cie., Hoflieferanten (Berlin)"  (no-match)
10509.xml  [org]  "Deutscher Verlegerverein"  (no-match)
10509.xml  [person]  "Neldner, Paul"  (no-match)
10510.xml  [org]  "Dania Biofilm Kompagni (Kopenhagen)"  (no-match)
10511.xml  [org]  "Dania Biofilm Kompagni (Kopenhagen)"  (no-match)
10511.xml  [person]  "Ségal, Bettina"  (no-match)
10511.xml  [person]  "Torel (Übersetzer, Frankreich)"  (no-match)
10512.xml  [org]  "Dania Biofilm Kompagni (Kopenhagen)"  (no-match)
10513.xml  [org]  "Polsa (russ. Buchhandlung, Berlin)"  (no-match)
10515.xml  [org]  "Deutscher Verlegerverein"  (no-match)
10516.xml  [bibl]  "Neue Romanreihe (Buchreihe, S. Fischer?)"  (no-match)
10518.xml  [bibl]  "Neue Romanreihe (Buchreihe, S. Fischer?)"  (no-match)
10520.xml  [person]  "Hondula, John (Übersetzer, England)"  (no-match)
10520.xml  [person]  "Stock, Frieda (russ. Übersetzerin, Wien)"  (no-match)
10521.xml  [bibl]  "Hans Kyser: Die Erziehung zur Liebe"  (no-match)
10522.xml  [person]  "Skram-Knudsen, Johanne"  (no-match)
10523.xml  [bibl]  "Bergisch-märkische Zeitung"  (no-match)
10523.xml  [bibl]  "Neue Romanreihe (Buchreihe, S. Fischer?)"  (no-match)
10523.xml  [bibl]  "The Graphic (London)"  (no-match)
10523.xml  [bibl]  "Hans Kyser: Die Erziehung zur Liebe"  (no-match)
10523.xml  [org]  "Max Goschen (London)"  (no-match)
10523.xml  [person]  "Murray, Marr (Übersetzer, England)"  (no-match)
